Проверяемое семейство,Категория,Название гена,Белок,Координаты гена
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17487,CAL2044653.1,OZ038410.1:8060963-8061331(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17488,CAL2044654.1,OZ038410.1:8061634-8062806(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17490,CAL2044656.1,OZ038410.1:8063434-8064286(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17491,CAL2044657.1,OZ038410.1:8064911-8065348(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17492,CAL2044658.1,OZ038410.1:8065499-8066035(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17493,CAL2044659.1,OZ038410.1:8067147-8068333(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17494,CAL2044660.1,OZ038410.1:8068639-8069022(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17496,CAL2044662.1,OZ038410.1:8070836-8071480(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17497,CAL2044663.1,OZ038410.1:8072171-8072789(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17498,CAL2044664.1,OZ038410.1:8072852-8073290(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17499,CAL2044665.1,OZ038410.1:8073614-8074030(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17501,CAL2044667.1,OZ038410.1:8075158-8075695(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_17502,CAL2044668.1,OZ038410.1:8075844-8076649(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_18502,CAL2045666.1,OZ038410.1:12072550-12073089(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_18581,CAL2045745.1,OZ038410.1:12450540-12451233(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_18582,CAL2045746.1,OZ038410.1:12451348-12452046(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_21473,CAL2048597.1,OZ038411.1:4167969-4169827(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_21502,CAL2048626.1,OZ038411.1:4315935-4316569(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_23545,CAL2050660.1,OZ038411.1:15449990-15450692(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_23744,CAL2050857.1,OZ038411.1:16679788-16680180(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_23975,CAL2051087.1,OZ038411.1:17914758-17915313(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_24094,CAL2051206.1,OZ038411.1:18469644-18470024(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25310,CAL2052406.1,OZ038411.1:25253968-25256734(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25369,CAL2052465.1,OZ038411.1:25528007-25528345(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25372,CAL2052468.1,OZ038411.1:25536316-25537726(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25373,CAL2052469.1,OZ038411.1:25537776-25538302(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25374,CAL2052470.1,OZ038411.1:25540957-25542837(+)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25375,CAL2052471.1,OZ038411.1:25543363-25543978(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25377,CAL2052473.1,OZ038411.1:25552037-25552453(-)
PF00125 Histone - Кор-гистоны / гистон-подобные H2A/B/H3/H4,Histone fold,CAEBRE_25446,CAL2052542.1,OZ038411.1:25989428-25989835(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_02096,CAL2029364.1,OZ038406.1:8536658-8538797(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_02672,CAL2029940.1,OZ038406.1:10833516-10844477(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_03168,CAL2030434.1,OZ038406.1:13979186-13988172(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_05089,CAL2032342.1,OZ038407.1:7016633-7019492(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_05494,CAL2032747.1,OZ038407.1:8656701-8658413(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_08406,CAL2035651.1,OZ038408.1:2638954-2639374(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_08407,CAL2035652.1,OZ038408.1:2641788-2642638(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_08577,CAL2035821.1,OZ038408.1:3435288-3437536(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_08786,CAL2036028.1,OZ038408.1:4677870-4683944(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_08787,CAL2036029.1,OZ038408.1:4684089-4691730(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_09253,CAL2036493.1,OZ038408.1:7050042-7051800(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_10322,CAL2037560.1,OZ038408.1:11331927-11334415(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_10849,CAL2038086.1,OZ038408.1:13928621-13930586(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_10850,CAL2038087.1,OZ038408.1:13930761-13932333(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_10861,CAL2038098.1,OZ038408.1:13964107-13965355(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_12706,CAL2039910.1,OZ038409.1:9840757-9844240(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_13124,CAL2040328.1,OZ038409.1:11584618-11585788(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_13125,CAL2040329.1,OZ038409.1:11588015-11589536(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_14605,CAL2041783.1,OZ038409.1:20749741-20751678(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_15605,CAL2042776.1,OZ038410.1:1472467-1473622(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_15607,CAL2042778.1,OZ038410.1:1475235-1478157(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_15885,CAL2043056.1,OZ038410.1:2482955-2483836(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_18179,CAL2045343.1,OZ038410.1:10739581-10745633(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_19849,CAL2047005.1,OZ038410.1:17418257-17420061(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_20875,CAL2048020.1,OZ038411.1:821224-821503(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_21272,CAL2048401.1,OZ038411.1:3028288-3028950(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_21764,CAL2048885.1,OZ038411.1:5658397-5658911(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_22827,CAL2049943.1,OZ038411.1:11562105-11566337(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_23139,CAL2050255.1,OZ038411.1:13293088-13296522(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_24281,CAL2051393.1,OZ038411.1:19465368-19466639(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_24282,CAL2051394.1,OZ038411.1:19467293-19468235(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_24699,CAL2051805.1,OZ038411.1:21875932-21878188(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_24770,CAL2051876.1,OZ038411.1:22260017-22264067(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_24771,CAL2051877.1,OZ038411.1:22264562-22265646(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_25076,CAL2052177.1,OZ038411.1:24054823-24056952(+)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_25314,CAL2052410.1,OZ038411.1:25266379-25268084(-)
PF00385 Chromo - Хромодомен - чтение метил-лизина (HP1),Histone methyl (read),CAEBRE_25522,CAL2052614.1,OZ038411.1:26562520-26563433(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_00071,CAL2027341.1,OZ038406.1:232607-234780(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_01274,CAL2028542.1,OZ038406.1:5176343-5179406(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_01276,CAL2028544.1,OZ038406.1:5186413-5189569(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_02096,CAL2029364.1,OZ038406.1:8536658-8538797(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_02146,CAL2029414.1,OZ038406.1:8736034-8746087(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_02585,CAL2029853.1,OZ038406.1:10531559-10535139(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_02658,CAL2029926.1,OZ038406.1:10788372-10789831(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_03337,CAL2030603.1,OZ038406.1:14837676-14844343(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_03403,CAL2030669.1,OZ038406.1:15198601-15201134(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_03620,CAL2030885.1,OZ038407.1:96523-100075(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_04837,CAL2032091.1,OZ038407.1:5972108-5973549(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_05140,CAL2032393.1,OZ038407.1:7234764-7236331(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_05555,CAL2032808.1,OZ038407.1:8943251-8945006(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_06788,CAL2034035.1,OZ038407.1:14019732-14021328(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_07361,CAL2034606.1,OZ038407.1:16441764-16443643(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_07363,CAL2034608.1,OZ038407.1:16447417-16449470(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_07364,CAL2034609.1,OZ038407.1:16450930-16453276(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_07365,CAL2034610.1,OZ038407.1:16453568-16457849(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_08786,CAL2036028.1,OZ038408.1:4677870-4683944(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_08787,CAL2036029.1,OZ038408.1:4684089-4691730(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_08860,CAL2036101.1,OZ038408.1:5148548-5151348(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_08913,CAL2036153.1,OZ038408.1:5508618-5516598(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_08919,CAL2036159.1,OZ038408.1:5538997-5542489(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_08963,CAL2036203.1,OZ038408.1:5797575-5801490(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_09320,CAL2036560.1,OZ038408.1:7311622-7322102(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_09618,CAL2036857.1,OZ038408.1:8574377-8576639(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_10112,CAL2037350.1,OZ038408.1:10473931-10480743(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_10307,CAL2037545.1,OZ038408.1:11262885-11267396(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_10517,CAL2037754.1,OZ038408.1:12257906-12261500(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_10524,CAL2037761.1,OZ038408.1:12286085-12290504(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_11494,CAL2038729.1,OZ038409.1:469152-476945(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_11496,CAL2038731.1,OZ038409.1:479008-482390(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_11597,CAL2038832.1,OZ038409.1:1035371-1037884(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_11599,CAL2038834.1,OZ038409.1:1041421-1043689(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_11668,CAL2038902.1,OZ038409.1:1331591-1332651(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_11674,CAL2038908.1,OZ038409.1:1344779-1345887(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12050,CAL2039274.1,OZ038409.1:4319026-4323498(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12055,CAL2039279.1,OZ038409.1:4376392-4378530(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12056,CAL2039280.1,OZ038409.1:4391270-4392479(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12059,CAL2039283.1,OZ038409.1:4465999-4468097(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12060,CAL2039284.1,OZ038409.1:4483174-4485194(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12062,CAL2039286.1,OZ038409.1:4519539-4551026(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12064,CAL2039288.1,OZ038409.1:4544847-4547185(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12066,CAL2039290.1,OZ038409.1:4580204-4644181(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12074,CAL2039298.1,OZ038409.1:4708273-4710467(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12086,CAL2039310.1,OZ038409.1:4813361-4813779(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12188,CAL2039407.1,OZ038409.1:6021551-6022585(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_12190,CAL2039409.1,OZ038409.1:6030477-6031421(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_13698,CAL2040902.1,OZ038409.1:13867593-13870606(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_14046,CAL2041248.1,OZ038409.1:15382731-15383847(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_14991,CAL2042162.1,OZ038409.1:23812276-23813137(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_17940,CAL2045104.1,OZ038410.1:9830607-9834635(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_18961,CAL2046124.1,OZ038410.1:13835845-13837971(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_20237,CAL2047390.1,OZ038410.1:18956503-18956745(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_20850,CAL2047998.1,OZ038411.1:590955-592075(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21415,CAL2048541.1,OZ038411.1:3836685-3838982(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21441,CAL2048567.1,OZ038411.1:3946254-3947164(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21451,CAL2048577.1,OZ038411.1:4007996-4010056(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21463,CAL2048589.1,OZ038411.1:4128175-4133168(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21487,CAL2048611.1,OZ038411.1:4221819-4226223(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21500,CAL2048624.1,OZ038411.1:4291668-4293713(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21619,CAL2048740.1,OZ038411.1:4854513-4859674(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21620,CAL2048741.1,OZ038411.1:4865719-4875788(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21657,CAL2048778.1,OZ038411.1:5028878-5033178(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21659,CAL2048780.1,OZ038411.1:5041409-5042861(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21694,CAL2048815.1,OZ038411.1:5277315-5279335(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21702,CAL2048823.1,OZ038411.1:5307190-5307429(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21742,CAL2048863.1,OZ038411.1:5491584-5496867(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21743,CAL2048864.1,OZ038411.1:5499041-5503396(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21784,CAL2048904.1,OZ038411.1:5774745-5776786(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_21789,CAL2048909.1,OZ038411.1:5807866-5809686(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_22603,CAL2049719.1,OZ038411.1:10326024-10326823(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_22605,CAL2049721.1,OZ038411.1:10341865-10344346(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_22824,CAL2049940.1,OZ038411.1:11551891-11555627(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_22867,CAL2049983.1,OZ038411.1:11821660-11824724(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23029,CAL2050145.1,OZ038411.1:12666671-12669933(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23030,CAL2050146.1,OZ038411.1:12670246-12673715(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23031,CAL2050147.1,OZ038411.1:12674116-12677673(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23615,CAL2050729.1,OZ038411.1:15840688-15841099(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23782,CAL2050895.1,OZ038411.1:16866658-16868467(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23783,CAL2050896.1,OZ038411.1:16873469-16875539(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23877,CAL2050989.1,OZ038411.1:17403524-17408135(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23878,CAL2050990.1,OZ038411.1:17410885-17415705(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23970,CAL2051082.1,OZ038411.1:17880864-17888101(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_23974,CAL2051086.1,OZ038411.1:17911077-17913236(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_24903,CAL2052009.1,OZ038411.1:23119731-23120638(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_25000,CAL2052101.1,OZ038411.1:23553858-23554688(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_25001,CAL2052102.1,OZ038411.1:23558898-23559997(+)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_25210,CAL2052309.1,OZ038411.1:24728904-24734858(-)
PF00856 SET - SET гистон-метилтрансферазы (EZH2/SETD),Histone methylation (write),CAEBRE_25617,CAL2052708.1,OZ038411.1:27293558-27296941(-)
